# capture started 2026-07-28T20:13:23.997Z from /dev/ttyUSB0
# dut=AMB1 test=ReverseCurrent baud=921600
utc,micros,volts,amps,watts
# ---- INA260 bench ----
# I2C scan:
#   device at 0x44
# verified INA260 at 0x44 (mfg=0x5449 die=0x2270)
# INA260 online at 0x44 (attempt 1)
# averaging=4  conv=140us  mode=continuous  target=1kHz
# watts is computed V*I (signed), NOT the chip's unsigned power register
# columns below are CSV; '#' lines are comments
2026-07-28T20:13:24.124Z,39386,0.0000,-0.1863,-0.0000
2026-07-28T20:13:24.125Z,40386,0.0000,-0.3162,-0.0000
2026-07-28T20:13:24.126Z,41386,0.0000,-0.3650,-0.0000
2026-07-28T20:13:24.127Z,42386,0.2125,-0.1312,-0.0279
2026-07-28T20:13:24.128Z,43386,0.7487,0.0025,0.0019
2026-07-28T20:13:24.129Z,44386,1.0388,-0.0025,-0.0026
2026-07-28T20:13:24.130Z,45386,1.0388,0.0000,0.0000
2026-07-28T20:13:24.131Z,46386,1.0362,0.0012,0.0013
2026-07-28T20:13:24.132Z,47386,1.0550,0.0012,0.0013
2026-07-28T20:13:24.133Z,48386,1.7100,0.0012,0.0021
2026-07-28T20:13:24.134Z,49386,9.2788,0.0000,0.0000
2026-07-28T20:13:24.135Z,50386,7.1737,-0.0025,-0.0179
2026-07-28T20:13:24.136Z,51386,3.1988,0.0000,0.0000
2026-07-28T20:13:24.137Z,52386,0.8388,-0.0012,-0.0010
2026-07-28T20:13:24.138Z,53386,0.0000,0.0012,0.0000
2026-07-28T20:13:24.139Z,54386,0.0000,-0.0688,-0.0000
2026-07-28T20:13:24.140Z,55386,0.0000,-0.2113,-0.0000
2026-07-28T20:13:24.141Z,56386,0.0000,-0.3300,-0.0000
2026-07-28T20:13:24.142Z,57386,0.0000,-0.3300,-0.0000
2026-07-28T20:13:24.143Z,58386,0.0000,-0.3625,-0.0000
2026-07-28T20:13:24.144Z,59386,0.4387,-0.0850,-0.0373
2026-07-28T20:13:24.145Z,60386,0.8300,-0.0012,-0.0010
2026-07-28T20:13:24.146Z,61386,1.0312,-0.0025,-0.0026
2026-07-28T20:13:24.147Z,62386,1.0375,-0.0025,-0.0026
2026-07-28T20:13:24.148Z,63386,1.0375,0.0012,0.0013
2026-07-28T20:13:24.149Z,64386,1.0450,0.0025,0.0026
2026-07-28T20:13:24.150Z,65386,3.6075,0.0012,0.0045
2026-07-28T20:13:24.151Z,66386,9.0513,0.0012,0.0113
2026-07-28T20:13:24.152Z,67386,6.5788,0.0025,0.0164
2026-07-28T20:13:24.153Z,68386,2.4975,-0.0012,-0.0031
2026-07-28T20:13:24.154Z,69386,0.6988,-0.0012,-0.0009
2026-07-28T20:13:24.155Z,70386,0.0000,-0.0063,-0.0000
2026-07-28T20:13:24.156Z,71386,0.0000,-0.0862,-0.0000
2026-07-28T20:13:24.157Z,72386,0.0000,-0.2338,-0.0000
2026-07-28T20:13:24.158Z,73386,0.0000,-0.3500,-0.0000
2026-07-28T20:13:24.159Z,74386,0.0000,-0.3650,-0.0000
2026-07-28T20:13:24.160Z,75386,0.0000,-0.3650,-0.0000
2026-07-28T20:13:24.161Z,76386,0.5063,-0.0012,-0.0006
2026-07-28T20:13:24.162Z,77386,0.9513,0.0000,0.0000
2026-07-28T20:13:24.163Z,78386,1.0450,0.0000,0.0000
2026-07-28T20:13:24.164Z,79386,1.0425,0.0000,0.0000
2026-07-28T20:13:24.165Z,80386,1.0538,0.0012,0.0013
2026-07-28T20:13:24.166Z,81386,1.0538,-0.0012,-0.0013
2026-07-28T20:13:24.167Z,82386,4.8825,0.0000,0.0000
2026-07-28T20:13:24.168Z,83386,8.7650,0.0012,0.0110
2026-07-28T20:13:24.169Z,84386,5.7650,0.0012,0.0072
2026-07-28T20:13:24.170Z,85386,1.9212,-0.0012,-0.0024
2026-07-28T20:13:24.171Z,86386,0.4800,0.0012,0.0006
2026-07-28T20:13:24.172Z,87386,0.0000,-0.0088,-0.0000
2026-07-28T20:13:24.173Z,88386,0.0000,-0.1063,-0.0000
