f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.28958,1.8641,7.28572,188.696,0.0564626,-19.2023
251.999,7.3016,2.28817,7.29578,184.115,0.0574205,-24.0218
317.003,7.32624,2.83515,7.31727,181.934,0.0576803,-29.7265
399.001,7.38643,3.47362,7.37286,178.515,0.0529469,-41.101
502,7.417,4.21715,7.39692,172.921,0.0537296,-49.3263
631.816,16.3882,4.07289,16.3468,293.208,0.480921,-4.66764
796.044,7.57068,6.2152,7.52619,163.87,0.0587436,-71.4965
999.996,7.69033,7.21303,7.62947,153.679,0.0624845,-82.0474
1260.01,7.8339,8.18572,7.75409,140.89,0.0656013,-93.7192
1589.99,8.05299,9.09945,7.95164,127.482,0.0694228,-106.015
1999.99,8.25888,9.68005,8.14129,110.51,0.0710489,-118.586
2519.99,8.48918,10.1247,8.35698,94.2504,0.074028,-132.307
3169.95,8.70596,10.4325,8.56204,79.1493,0.078133,-143.528
3979.99,8.90592,10.8555,8.74655,67.0721,0.0792665,-151.706
5019.99,9.04835,11.5531,8.86503,57.4533,0.0808156,-158.581
6309.98,9.18419,12.6867,8.95996,50.8751,0.0811159,-163.529
7949.98,9.30262,14.3146,9.0138,46.0455,0.0751387,-167.317
9999.98,9.44042,16.5109,9.05115,42.7005,0.0833031,-174.493
12599.9,9.63532,19.5725,9.07858,40.7723,0.0708015,-177.912
15900.1,9.91603,23.2868,9.10824,39.2395,0.0684409,176.901
19999.9,10.3032,27.964,9.10026,38.4469,0.0732035,170.388
25099.9,10.9102,33.236,9.12555,37.917,0.0744179,162.66
31599.8,11.782,39.1644,9.13505,37.4769,0.0712799,156.877
39800.3,13.0744,45.5924,9.14891,37.3495,0.0623409,152.48
50100,14.8741,51.959,9.1658,37.2137,0.060436,147.376
63098.8,17.3434,58.0871,9.16824,37.1334,0.0518502,146.226
79399.3,20.6881,63.416,9.25815,37.0849,0.0453145,141.919
99899.1,25.0611,68.157,9.32437,37.0599,0.0395214,140.467
126002,30.8433,72.2076,9.42475,37.0951,0.0323064,142.723
158001,38.0862,75.4313,9.5802,37.1308,0.0289911,143.7
198999,47.5603,78.0685,9.83273,37.2159,0.0248849,148.527
250998,59.7905,80.1159,10.2634,37.3497,0.0212447,156.03
316011,75.378,81.7014,10.8795,37.5657,0.0168096,162.988
397993,95.5073,82.9493,11.7233,37.9039,0.0152639,165.346
500998,121.928,83.8688,13.0225,38.512,0.0133504,178.974
629989,157.661,84.4154,15.3427,39.6411,0.0106506,-177.263
793015,208.042,84.7801,18.9272,41.5802,0.006199,-140.535
997978,284.562,84.8308,25.6382,45.1966,0.0103279,-59.0416
1.25994e+06,421.377,84.218,42.4514,52.9573,0.0316298,-27.4415
1.58008e+06,726.249,82.4233,95.7583,72.5135,0.0893966,-20.8734
1.98978e+06,2345.7,72.4609,706.894,178.902,0.641385,-43.2617
2.51029e+06,1473.86,-77.9775,307,nan,0.274125,-169.934
3.16014e+06,538.998,-84.91,47.8204,nan,0.171349,-170.655
3.97022e+06,288.583,-85.7738,21.267,nan,0.153168,-168.496
4.9996e+06,158.043,-84.3268,15.6231,nan,0.171835,-168.18
