f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
1000,7.69445,7.30456,7.632,155.701,0.0612687,-78.3804
2000,8.31055,9.77303,8.18994,112.258,0.0693816,-118.861
4999.98,8.95942,11.7426,8.77191,58.0402,0.0651623,-148.968
10000,9.39322,16.6974,8.99716,42.9531,0.0705906,-171.235
19999.9,10.2638,28.1644,9.0485,38.5517,0.0619544,173.086
30000.6,11.5288,38.0499,9.0786,37.6963,0.0597257,161.882
50000.1,14.8506,52.1191,9.11861,37.3104,0.048482,151.076
69999.5,18.7908,60.6808,9.20137,37.2512,0.043721,144.618
100000,25.1251,68.3604,9.26527,37.1695,0.0331519,143.478
150000,36.3481,74.7653,9.55133,37.2113,0.0258338,148.058
199998,47.9298,78.096,9.88657,37.3214,0.023066,152.035
300000,71.487,81.4197,10.6655,37.5005,0.0168916,162.482
500002,121.771,83.8335,13.0805,38.5365,0.0113793,-173.061
700001,178.45,84.6475,16.6463,40.3962,0.00736303,-156.776
999969,285.465,84.7631,26.0553,45.2449,0.00985059,-58.3673
