f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
1000,4.21241,10.8488,4.13712,126.186,20.8484,168.603
2000,4.75696,13.2743,4.62986,86.9194,18.3652,166.588
4999.98,5.41871,12.725,5.28562,37.9933,16.1486,167.628
10000,5.56251,15.8106,5.35206,24.1207,15.7241,164.936
19999.9,6.10225,24.5088,5.55242,20.1445,14.367,156.965
49999.9,8.09743,47.2717,5.49429,18.9338,10.84,136.359
100000,13.0909,64.5668,5.62202,18.8157,6.75569,122.653
200000,24.3546,76.1719,5.82099,18.8191,3.72423,118.032
500001,61.8903,82.8972,7.65274,19.5491,1.72456,129.913
999975,146.858,84.0341,15.264,23.2471,1.14677,150.786
1.50002e+06,335.227,81.7331,48.2006,35.1986,1.00975,165.934
1.99992e+06,1841.84,52.8924,1111.2,116.894,0.985303,177.334
2.19931e+06,1949.4,-49.8858,1256.02,nan,0.944871,179.911
2.40003e+06,813.201,-75.9256,197.756,nan,0.960231,-174.092
2.99975e+06,280.803,-84.9129,24.899,nan,1.00443,-163.275
