f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
1000,4.21137,10.679,4.13843,124.204,20.9955,169.124
2000,4.7472,13.1038,4.62359,85.6465,18.5826,167.018
4999.99,5.39651,12.6945,5.26459,37.7482,16.3946,167.782
9999.97,5.5446,15.8557,5.33365,24.11,15.9631,164.969
19999.9,5.96521,24.9387,5.40902,20.0156,14.8545,156.583
49999.9,8.08347,47.3385,5.47789,18.9215,10.9964,136.352
99999.8,13.028,64.7621,5.55484,18.7555,6.87181,122.536
199999,24.3051,76.1864,5.80321,18.7821,3.78121,118.17
499997,61.8266,82.8979,7.64413,19.5291,1.75409,130.212
999994,146.954,83.887,15.649,23.2556,1.17223,151.158
1.49998e+06,338.544,81.7787,48.4108,35.5519,1.03237,166.244
1.99983e+06,1897.48,52.8452,1146.02,120.356,1.00507,177.593
2.19964e+06,1859.99,-59.0648,956.163,nan,0.971972,-179.642
2.39996e+06,773.83,-76.7744,177.041,nan,0.983864,-174.024
2.99968e+06,275.668,-85.3683,22.2605,nan,1.02895,-163.111
