f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
1000.02,4.19839,10.6673,4.12584,123.685,2.50072,-11.1065
2000,4.74841,13.1402,4.62408,85.9021,2.15123,-12.1382
4999.97,5.40374,12.6538,5.2725,37.6798,1.84731,-5.05341
9999.99,5.63664,15.5475,5.43038,24.0456,1.83244,1.97071
19999.9,6.06913,24.5966,5.51842,20.1024,1.93386,9.03268
49999.6,8.12701,47.0293,5.53957,18.9286,2.36859,12.278
99999.4,13.0818,64.6116,5.60882,18.8096,2.65444,8.63914
200003,24.3203,76.1609,5.81733,18.7914,2.77901,4.67483
500010,61.7438,82.7783,7.76169,19.4973,2.8071,2.21354
1e+06,147.039,83.8397,15.7787,23.2668,2.74224,1.68099
1.50002e+06,338.162,81.6203,49.281,35.4967,2.53292,2.29625
1.99991e+06,1921.18,52.8706,1159.66,121.895,1.47738,35.3738
2.20004e+06,1849.27,-61.4523,883.749,nan,6.46894,38.8938
2.40002e+06,763.693,-77.5661,164.434,nan,4.52776,5.69814
3.00011e+06,273.249,-85.4203,21.8179,nan,3.60215,1.43251
