f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
999.998,7.67143,7.06435,7.61319,150.157,0.0652589,-80.2083
1999.99,8.26398,9.50462,8.15053,108.592,0.0737312,-118.899
4999.98,8.89831,11.5593,8.71784,56.757,0.0712403,-150.725
9999.99,9.33427,16.3889,8.95501,41.917,0.0762764,-173.161
20000,10.1609,27.6897,8.99722,37.5731,0.0678089,169.977
50000.1,14.5982,51.6357,9.06051,36.4342,0.0520131,144.313
100001,24.5904,67.9527,9.23055,36.2746,0.0336584,130.378
200001,46.7453,77.8552,9.83445,36.3661,0.0189302,134.447
500002,118.43,83.8094,12.771,37.4773,0.0041213,172.883
999978,275.964,84.784,25.0879,43.7401,0.0157994,-42.9966
1.49996e+06,587.982,83.3558,68.0313,61.9694,0.0767337,-21.2807
1.99999e+06,1995.03,77.0662,446.54,154.733,0.722086,-46.8034
2.19989e+06,8375.59,-4.17953,8353.32,nan,0.725612,-150.292
2.40016e+06,2554.32,-72.2582,778.371,nan,0.359141,-173.299
2.99979e+06,679.49,-83.9161,72.0156,nan,0.189291,-171.471
