f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
1000,7.66755,6.8144,7.61338,144.796,0.0602433,-79.7569
2000,8.24557,9.28234,8.1376,105.839,0.0693375,-118.346
4999.99,8.85434,11.4405,8.67842,55.9035,0.0667774,-148.497
9999.98,9.29327,16.3378,8.91801,41.6063,0.0728519,-169.467
20000,10.115,27.6094,8.96315,37.3035,0.0687488,176.124
50000.3,14.502,51.2562,9.07595,36.0035,0.0575127,152.773
99999.4,24.308,67.6286,9.25187,35.7758,0.0389271,141.109
199997,46.0647,77.693,9.81872,35.8153,0.0238109,146.704
499999,116.483,83.6854,12.8117,36.8529,0.00959049,-178.411
999999,269.586,84.9705,23.6341,42.7407,0.0143055,-47.4099
1.50005e+06,566.232,83.5915,63.2007,59.7016,0.0856649,-21.1257
2.00007e+06,1773.31,78.2171,362.116,138.137,0.802758,-44.3311
2.19984e+06,7871.77,22.9108,7250.78,221.709,0.929246,-148.461
2.40008e+06,3099.02,-68.9786,1111.67,nan,0.470431,-174.756
2.99979e+06,710.213,-82.4843,92.8949,nan,0.231073,-171.72
